report_name	moment	ecof_count	ecof_advance	proposed_count	accept_count	accept_val	accept_avg	accept_rate	decline_count	pending_count	advance_count	advance_val	advance_avg	commission_val	commission_rate_avg	budget
Brackenwood Windows Ltd : All	2024-03	104	1897113.54	52	47	547563.00	11650.28	0.903846	5	2	48	564347.00	11757.23	6690.52	0.0119	2800000.00
Brackenwood Windows Ltd : All	2024-04	112	2126632.39	57	44	513595.00	11672.61	0.771930	13	1	53	634778.00	11976.94	8121.98	0.0128	3920000.00
Brackenwood Windows Ltd : All	2024-05	107	1453066.64	61	46	536806.00	11669.70	0.754098	15	2	51	564655.00	11071.67	6778.47	0.0120	3920000.00
Brackenwood Windows Ltd : All	2024-06	88	1173493.08	55	44	523544.00	11898.73	0.800000	11	0	52	634067.00	12193.60	7392.06	0.0117	3920000.00
Brackenwood Windows Ltd : All	2024-07	43	774310.62	49	45	570542.00	12678.71	0.918367	4	0	63	657994.00	10444.35	7817.80	0.0119	2240000.00
Brackenwood Windows Ltd : All	2024-08	48	546689.83	42	38	430654.00	11333.00	0.904762	4	0	35	333586.00	9531.03	3949.78	0.0118	2240000.00
Brackenwood Windows Ltd : All	2024-09	64	729565.42	52	45	506631.00	11258.47	0.865385	7	0	38	427020.00	11237.37	5417.85	0.0127	2240000.00
Brackenwood Windows Ltd : All	2024-10	59	656888.61	77	69	595072.00	8624.23	0.896104	8	0	40	396359.00	9908.98	5144.51	0.0130	3360000.00
Brackenwood Windows Ltd : All	2024-11	81	877148.80	73	67	706365.00	10542.76	0.917808	6	0	57	609684.00	10696.21	7091.51	0.0116	3360000.00
Brackenwood Windows Ltd : All	2024-12	91	1516378.78	53	46	514696.00	11189.04	0.867925	7	0	57	579438.00	10165.58	6633.14	0.0114	3360000.00
Brackenwood Windows Ltd : All	2025-01	162	2029192.26	139	124	1356267.00	10937.64	0.892086	15	0	52	487998.00	9384.58	5944.34	0.0122	4200000.00
Brackenwood Windows Ltd : All	2025-02	121	1648834.17	100	87	981960.00	11286.90	0.870000	13	0	59	535431.00	9075.10	7137.29	0.0133	4200000.00
