report_name	year_month	accept_val	accept	decline	pending	proposed	accept	accept_val	accept_average	accept_rate
Consumer Credit Solutions : All	2022-01	42581674.00	6649	945	71	7594	6649	£42,581,674	£6,404	87%
Consumer Credit Solutions : All	2022-02	40144416.00	5964	786	71	6750	5964	£40,144,416	£6,731	88%
Consumer Credit Solutions : All	2022-03	45704163.00	6805	826	105	7631	6805	£45,704,163	£6,716	89%
Consumer Credit Solutions : All	2022-04	39716688.00	5818	684	61	6502	5818	£39,716,688	£6,827	89%
Consumer Credit Solutions : All	2022-05	38062931.00	5681	671	72	6352	5681	£38,062,931	£6,700	89%
Consumer Credit Solutions : All	2022-06	36167490.00	5260	592	65	5852	5260	£36,167,490	£6,876	89%
Consumer Credit Solutions : All	2022-07	35264140.00	5234	636	79	5870	5234	£35,264,140	£6,738	89%
Consumer Credit Solutions : All	2022-08	36752732.00	5627	645	69	6272	5627	£36,752,732	£6,531	89%
Consumer Credit Solutions : All	2022-09	35035773.00	5443	620	77	6063	5443	£35,035,773	£6,437	89%
Consumer Credit Solutions : All	2022-10	32524642.00	5119	632	71	5751	5119	£32,524,642	£6,354	89%
Consumer Credit Solutions : All	2022-11	33106571.00	5301	662	64	5963	5301	£33,106,571	£6,245	88%
Consumer Credit Solutions : All	2022-12	22211182.00	3493	411	32	3904	3493	£22,211,182	£6,359	89%
Consumer Credit Solutions : All	2023-01	41014406.00	6581	1493	46	8074	6581	£41,014,406	£6,232	81%
Consumer Credit Solutions : All	2023-02	35853516.00	5542	1077	36	6619	5542	£35,853,516	£6,469	83%
Consumer Credit Solutions : All	2023-03	36182068.00	5570	1198	21	6768	5570	£36,182,068	£6,496	82%
Consumer Credit Solutions : All	2023-04	34508430.00	5220	1126	47	6346	5220	£34,508,430	£6,611	82%
Consumer Credit Solutions : All	2023-05	34406925.00	5066	1141	36	6207	5066	£34,406,925	£6,792	81%
Consumer Credit Solutions : All	2023-06	30551274.00	4692	1023	58	5715	4692	£30,551,274	£6,511	82%
Consumer Credit Solutions : All	2023-07	30987386.00	4939	1081	53	6020	4939	£30,987,386	£6,274	82%
Consumer Credit Solutions : All	2023-08	31418768.00	5083	1102	94	6185	5083	£31,418,768	£6,181	82%
Consumer Credit Solutions : All	2023-09	29172940.00	4728	1025	77	5753	4728	£29,172,940	£6,170	82%
Consumer Credit Solutions : All	2023-10	33219556.00	5049	1208	67	6257	5049	£33,219,556	£6,579	80%
Consumer Credit Solutions : All	2023-11	27484998.00	4009	833	65	4842	4009	£27,484,998	£6,856	82%
Consumer Credit Solutions : All	2023-12	16673035.00	2437	504	46	2941	2437	£16,673,035	£6,842	82%
Consumer Credit Solutions : All	2024-01	32436891.00	4830	1017	58	5847	4830	£32,436,891	£6,716	82%
Consumer Credit Solutions : All	2024-02	28740176.00	4021	854	62	4875	4021	£28,740,176	£7,148	82%
Consumer Credit Solutions : All	2024-03	28071652.00	3829	873	73	4702	3829	£28,071,652	£7,331	81%
Consumer Credit Solutions : All	2024-04	27495044.00	3843	767	32	4610	3843	£27,495,044	£7,155	83%
Consumer Credit Solutions : All	2024-05	27724125.00	3609	728	105	4337	3609	£27,724,125	£7,682	83%
Consumer Credit Solutions : All	2024-06	25316927.00	3285	687	42	3972	3285	£25,316,927	£7,707	82%
Consumer Credit Solutions : All	2024-07	26188117.00	3539	706	61	4245	3539	£26,188,117	£7,400	83%
Consumer Credit Solutions : All	2024-08	25194754.00	3417	640	41	4057	3417	£25,194,754	£7,373	84%
Consumer Credit Solutions : All	2024-09	23600124.00	3431	626	50	4057	3431	£23,600,124	£6,878	84%
Consumer Credit Solutions : All	2024-10	26033274.00	3728	689	51	4417	3728	£26,033,274	£6,983	84%
Consumer Credit Solutions : All	2024-11	24988109.00	3614	631	41	4245	3614	£24,988,109	£6,914	85%
Consumer Credit Solutions : All	2024-12	15386801.00	2227	443	17	2670	2227	£15,386,801	£6,909	83%
Consumer Credit Solutions : All	2025-01	29465066.00	4134	786	60	4920	4134	£29,465,066	£7,127	84%
Consumer Credit Solutions : All	2025-02	25999399.00	3524	634	34	4158	3524	£25,999,399	£7,378	84%
