report_name	group_by	ecof_count	ecof_advance	proposed_count	accept_count	accept_val	accept_avg	accept_rate	decline_count	pending_count	advance_count	advance_val	advance_avg	commission_val	commission_rate_avg
Brackenwood Windows Ltd : All	2024-03	3224	58810519.74	1612	1457	16974453.00	11650.276595	0.9038	155	62	1488	17494757.00	11757.229166	207406.12	0.011900
Brackenwood Windows Ltd : All	2024-04	3360	63798971.70	1710	1320	15407850.00	11672.613636	0.7719	390	30	1590	19043340.00	11976.943396	243659.40	0.012800
Brackenwood Windows Ltd : All	2024-05	3317	45045065.84	1891	1426	16640986.00	11669.695652	0.7541	465	62	1581	17504305.00	11071.666666	210132.57	0.012000
Brackenwood Windows Ltd : All	2024-06	2640	35204792.40	1650	1320	15706320.00	11898.727272	0.8000	330	0	1560	19022010.00	12193.596153	221761.80	0.011700
Brackenwood Windows Ltd : All	2024-07	1333	24003629.22	1519	1395	17686802.00	12678.711111	0.9184	124	0	1953	20397814.00	10444.349206	242351.80	0.011900
Brackenwood Windows Ltd : All	2024-08	1488	16947384.73	1302	1178	13350274.00	11333.000000	0.9048	124	0	1085	10341166.00	9531.028571	122443.18	0.011800
Brackenwood Windows Ltd : All	2024-09	1920	21886962.60	1560	1350	15198930.00	11258.466666	0.8654	210	0	1140	12810600.00	11237.368421	162535.50	0.012700
Brackenwood Windows Ltd : All	2024-10	1829	20363546.91	2387	2139	18447232.00	8624.231884	0.8961	248	0	1240	12287129.00	9908.975000	159479.81	0.013000
Brackenwood Windows Ltd : All	2024-11	2430	26314464.00	2190	2010	21190950.00	10542.761194	0.9178	180	0	1710	18290520.00	10696.210526	212745.30	0.011600
Brackenwood Windows Ltd : All	2024-12	2821	47007742.18	1643	1426	15955576.00	11189.043478	0.8679	217	0	1767	17962578.00	10165.578947	205627.34	0.011400
Brackenwood Windows Ltd : All	2025-01	5022	62904960.06	4309	3844	42044277.00	10937.637096	0.8921	465	0	1612	15127938.00	9384.576923	184274.54	0.012200
Brackenwood Windows Ltd : All	2025-02	3388	46167356.76	2800	2436	27494880.00	11286.896551	0.8700	364	0	1652	14992068.00	9075.101694	199844.12	0.013300
