report_name	year_month	ecof_count	ecof_advance	ecof_advance_text	proposed_count	accept_count	accept_val	accept_text	accept_avg_text	accept_rate_text	decline_count	pending_count	advance_count	advance_val	advance_text	advance_avg_text	commission_val	commission_text	commission_rate_avg	commission_rate_avg_text
Brackenwood Windows Ltd : All	2024-03	104	1897113.54	£1,897,114	52	47	547563.00	£547,563	£11,650	90%	5	2	48	564347.00	£564,347	£11,757	6690.52	£6,691	0.011900	1.19%
Brackenwood Windows Ltd : All	2024-04	112	2126632.39	£2,126,632	57	44	513595.00	£513,595	£11,673	77%	13	1	53	634778.00	£634,778	£11,977	8121.98	£8,122	0.012800	1.28%
Brackenwood Windows Ltd : All	2024-05	107	1453066.64	£1,453,067	61	46	536806.00	£536,806	£11,670	75%	15	2	51	564655.00	£564,655	£11,072	6778.47	£6,778	0.012000	1.20%
Brackenwood Windows Ltd : All	2024-06	88	1173493.08	£1,173,493	55	44	523544.00	£523,544	£11,899	80%	11	0	52	634067.00	£634,067	£12,194	7392.06	£7,392	0.011700	1.17%
Brackenwood Windows Ltd : All	2024-07	43	774310.62	£774,311	49	45	570542.00	£570,542	£12,679	91%	4	0	63	657994.00	£657,994	£10,444	7817.80	£7,818	0.011900	1.19%
Brackenwood Windows Ltd : All	2024-08	48	546689.83	£546,690	42	38	430654.00	£430,654	£11,333	90%	4	0	35	333586.00	£333,586	£9,531	3949.78	£3,950	0.011800	1.18%
Brackenwood Windows Ltd : All	2024-09	64	729565.42	£729,565	52	45	506631.00	£506,631	£11,258	86%	7	0	38	427020.00	£427,020	£11,237	5417.85	£5,418	0.012700	1.27%
Brackenwood Windows Ltd : All	2024-10	59	656888.61	£656,889	77	69	595072.00	£595,072	£8,624	89%	8	0	40	396359.00	£396,359	£9,909	5144.51	£5,145	0.013000	1.30%
Brackenwood Windows Ltd : All	2024-11	81	877148.80	£877,149	73	67	706365.00	£706,365	£10,543	91%	6	0	57	609684.00	£609,684	£10,696	7091.51	£7,092	0.011600	1.16%
Brackenwood Windows Ltd : All	2024-12	91	1516378.78	£1,516,379	53	46	514696.00	£514,696	£11,189	86%	7	0	57	579438.00	£579,438	£10,166	6633.14	£6,633	0.011400	1.14%
Brackenwood Windows Ltd : All	2025-01	162	2029192.26	£2,029,192	139	124	1356267.00	£1,356,267	£10,938	89%	15	0	52	487998.00	£487,998	£9,385	5944.34	£5,944	0.012200	1.22%
Brackenwood Windows Ltd : All	2025-02	121	1648834.17	£1,648,834	100	87	981960.00	£981,960	£11,287	87%	13	0	59	535431.00	£535,431	£9,075	7137.29	£7,137	0.013300	1.33%
